,mll_annotation,prediction,ID,im_tiffname
2036,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,392.TIF
2037,other,smudge cell,BHS,430.TIF
2038,other,typical lymphocyte,PKC,099.TIF
2039,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,134.TIF
2040,other,basophil granulocyte,BHS,000.TIF
2041,myeloblast,myeloblast,UVT,223.TIF
2042,large granulated lymphocyte,large granulated lymphocyte,UGU,137.TIF
2043,atypical promyelocyte,atypical promyelocyte,PKC,343.TIF
2044,typical lymphocyte,typical lymphocyte,PKC,128.TIF
2045,typical lymphocyte,typical lymphocyte,UGU,180.TIF
2046,monocyte,myeloblast,UGU,275.TIF
2047,other,other,PKC,224.TIF
2048,monocyte,mononucleosis,SBY,244.TIF
2049,other,smudge cell,UVT,238.TIF
2050,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,297.TIF
2051,other,other,PKC,033.TIF
2052,other,smudge cell,UGU,226.TIF
2053,myeloblast,myeloblast,UVT,164.TIF
2054,typical lymphocyte,typical lymphocyte,UGU,351.TIF
2055,myeloblast,myeloblast,UVT,188.TIF
2056,typical lymphocyte,typical lymphocyte,UGU,281.TIF
2057,monocyte,metamyelocyte,UGU,245.TIF
2058,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,022.TIF
2059,monocyte,myeloblast,UGU,300.TIF
2060,other,typical lymphocyte,UGU,367.TIF
2061,typical lymphocyte,typical lymphocyte,BHS,286.TIF
2062,other,smudge cell,UVT,282.TIF
2063,myeloblast,myeloblast,UVT,007.TIF
2064,monocyte,myeloblast,PKC,319.TIF
2065,other,atypical promyelocyte,BHS,006.TIF
2066,promonocyte,monocyte,UVT,302.TIF
2067,other,neutrophil granulocyte (segmented),BHS,181.TIF
2068,other,other,UGU,058.TIF
2069,normo,normo,PKC,290.TIF
2070,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,093.TIF
2071,other,basophil granulocyte,BHS,473.TIF
2072,reactive lymphocyte,typical lymphocyte,UVT,303.TIF
2073,monocyte,monocyte,SBY,230.TIF
2074,typical lymphocyte,typical lymphocyte,UGU,430.TIF
2075,myeloblast,mononucleosis,UVT,295.TIF
2076,other,other,BHS,444.TIF
2077,myeloblast,atypical promyelocyte,BHS,156.TIF
2078,reactive lymphocyte,myeloblast,SBY,204.TIF
2079,monocyte,myeloblast,SBY,356.TIF
2080,monocyte,myeloblast,UGU,084.TIF
2081,myeloblast,atypical promyelocyte,SBY,176.TIF
2082,atypical promyelocyte,atypical promyelocyte,BHS,113.TIF
2083,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,371.TIF
2084,other,smudge cell,UVT,153.TIF
2085,myeloblast,mononucleosis,UGU,453.TIF
2086,myeloblast,myeloblast,UGU,158.TIF
2087,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),SBY,437.TIF
2088,reactive lymphocyte,myeloblast,UGU,156.TIF
2089,typical lymphocyte,typical lymphocyte,UGU,359.TIF
2090,typical lymphocyte,typical lymphocyte,UVT,148.TIF
2091,other,other,PKC,303.TIF
2092,monocyte,metamyelocyte,BHS,096.TIF
2093,promyelocyte,myelocyte,PKC,425.TIF
2094,atypical promyelocyte,atypical promyelocyte,PKC,444.TIF
2095,typical lymphocyte,typical lymphocyte,UGU,265.TIF
2096,reactive lymphocyte,myeloblast,UGU,447.TIF
2097,cup-like blast,myeloblast,UVT,401.TIF
2098,monocyte,metamyelocyte,PKC,329.TIF
2099,large granulated lymphocyte,typical lymphocyte,PKC,423.TIF
2100,other,myeloblast,UVT,443.TIF
2101,other,atypical promyelocyte,BHS,158.TIF
2102,myeloblast,myeloblast,UVT,082.TIF
2103,other,other,BHS,442.TIF
2104,other,other,PKC,164.TIF
2105,typical lymphocyte,typical lymphocyte,SBY,366.TIF
2106,monocyte,myeloblast,UGU,031.TIF
2107,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,202.TIF
2108,reactive lymphocyte,myeloblast,UGU,375.TIF
2109,other,basophil granulocyte,PKC,246.TIF
2110,other,neutrophil granulocyte (segmented),BHS,101.TIF
2111,reactive lymphocyte,myeloblast,UVT,204.TIF
2112,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,237.TIF
2113,other,other,PKC,177.TIF
2114,other,other,PKC,481.TIF
2115,other,other,PKC,145.TIF
2116,monocyte,myeloblast,SBY,482.TIF
2117,typical lymphocyte,typical lymphocyte,UGU,463.TIF
2118,other,other,BHS,421.TIF
2119,typical lymphocyte,typical lymphocyte,UGU,037.TIF
2120,atypical promyelocyte with auer rod,atypical promyelocyte,PKC,372.TIF
2121,large granulated lymphocyte,large granulated lymphocyte,UGU,480.TIF
2122,other,atypical promyelocyte,BHS,163.TIF
2123,myeloblast,myeloblast,UVT,009.TIF
2124,reactive lymphocyte,large granulated lymphocyte,UGU,277.TIF
2125,other,smudge cell,BHS,171.TIF
2126,other,neutrophil granulocyte (segmented),PKC,034.TIF
2127,other,other,UVT,276.TIF
2128,typical lymphocyte,metamyelocyte,PKC,118.TIF
2129,myeloblast,myeloblast,UVT,028.TIF
2130,atypical promyelocyte,atypical promyelocyte,BHS,147.TIF
2131,monocyte,atypical promyelocyte,PKC,122.TIF
2132,monocyte,mononucleosis,SBY,260.TIF
2133,monocyte,mononucleosis,SBY,402.TIF
2134,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,039.TIF
2135,other,other,UVT,267.TIF
2136,myeloblast,myeloblast,UVT,325.TIF
2137,typical lymphocyte,typical lymphocyte,SBY,348.TIF
2138,myeloblast with long auer rod,myeloblast,UGU,087.TIF
2139,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,047.TIF
2140,typical lymphocyte,typical lymphocyte,UGU,381.TIF
2141,atypical promyelocyte,atypical promyelocyte,BHS,014.TIF
2142,other,atypical promyelocyte,BHS,180.TIF
2143,typical lymphocyte,typical lymphocyte,UGU,148.TIF
2144,typical lymphocyte,myeloblast,SBY,280.TIF
2145,other,other,BHS,208.TIF
2146,reactive lymphocyte,reactive lymphocyte,UGU,043.TIF
2147,typical lymphocyte,myeloblast,SBY,343.TIF
2148,myeloblast,myeloblast,SBY,088.TIF
2149,typical lymphocyte,typical lymphocyte,UGU,096.TIF
2150,myeloblast,atypical promyelocyte,PKC,345.TIF
2151,typical lymphocyte,typical lymphocyte,UGU,419.TIF
2152,atypical promyelocyte,atypical promyelocyte,PKC,374.TIF
2153,myeloblast,myeloblast,UGU,169.TIF
2154,typical lymphocyte,typical lymphocyte,UGU,130.TIF
2155,typical lymphocyte,typical lymphocyte,SBY,458.TIF
2156,monocyte,neutrophil granulocyte (segmented),BHS,438.TIF
2157,typical lymphocyte,typical lymphocyte,BHS,472.TIF
2158,eosinophil granulocyte,basophil granulocyte,SBY,449.TIF
2159,other,neutrophil granulocyte (segmented),PKC,062.TIF
2160,typical lymphocyte,typical lymphocyte,BHS,424.TIF
2161,myelocyte,myeloblast,UGU,241.TIF
2162,other,atypical promyelocyte,BHS,032.TIF
2163,typical lymphocyte,typical lymphocyte,UGU,254.TIF
2164,monocyte,atypical promyelocyte,SBY,471.TIF
2165,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,158.TIF
2166,monocyte,myeloblast,UGU,182.TIF
2167,other,smudge cell,UVT,029.TIF
2168,typical lymphocyte,typical lymphocyte,UGU,015.TIF
2169,other,typical lymphocyte,BHS,281.TIF
2170,monocyte,monocyte,UGU,444.TIF
2171,myelocyte,atypical promyelocyte,PKC,054.TIF
2172,typical lymphocyte,typical lymphocyte,SBY,241.TIF
2173,myeloblast,myeloblast,SBY,090.TIF
2174,other,atypical promyelocyte,PKC,385.TIF
2175,atypical promyelocyte,atypical promyelocyte,BHS,300.TIF
2176,other,other,BHS,409.TIF
2177,other,other,UVT,393.TIF
2178,other,other,BHS,038.TIF
2179,typical lymphocyte,typical lymphocyte,BHS,297.TIF
2180,other,smudge cell,SBY,209.TIF
2181,other,smudge cell,UVT,388.TIF
2182,other,large granulated lymphocyte,UGU,243.TIF
2183,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,048.TIF
2184,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,137.TIF
2185,typical lymphocyte,typical lymphocyte,UGU,102.TIF
2186,normo,normo,PKC,489.TIF
2187,reactive lymphocyte,reactive lymphocyte,UGU,301.TIF
2188,other,other,PKC,348.TIF
2189,other,other,UGU,083.TIF
2190,monocyte,monocyte,UGU,310.TIF
2191,monocyte,myeloblast,SBY,159.TIF
2192,reactive lymphocyte,reactive lymphocyte,UVT,233.TIF
2193,typical lymphocyte,monocyte,BHS,335.TIF
2194,monocyte,metamyelocyte,BHS,162.TIF
2195,monocyte,myeloblast,UGU,023.TIF
2196,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,003.TIF
2197,other,other,UVT,169.TIF
2198,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,475.TIF
2199,large granulated lymphocyte,plasma cell,BHS,278.TIF
2200,myeloblast with auer rod,atypical promyelocyte,BHS,280.TIF
2201,typical lymphocyte,typical lymphocyte,PKC,273.TIF
2202,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,328.TIF
2203,myeloblast,myeloblast,SBY,098.TIF
2204,myeloblast,atypical promyelocyte,BHS,232.TIF
2205,other,metamyelocyte,PKC,156.TIF
2206,myeloblast,myeloblast,SBY,193.TIF
2207,myeloblast,myeloblast,SBY,077.TIF
2208,large granulated lymphocyte,large granulated lymphocyte,UVT,468.TIF
2209,other,other,BHS,205.TIF
2210,other,atypical promyelocyte,BHS,234.TIF
2211,typical lymphocyte,typical lymphocyte,UGU,299.TIF
2212,ambiguous,myeloblast,BHS,249.TIF
2213,other,monocyte,BHS,239.TIF
2214,other,other,PKC,403.TIF
2215,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,230.TIF
2216,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,289.TIF
2217,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,146.TIF
2218,myeloblast,atypical promyelocyte,SBY,011.TIF
2219,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,248.TIF
2220,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,183.TIF
2221,myeloblast,myeloblast,UVT,379.TIF
2222,reactive lymphocyte,large granulated lymphocyte,UGU,101.TIF
2223,monocyte,myeloblast,UVT,115.TIF
2224,typical lymphocyte,other,BHS,008.TIF
2225,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,068.TIF
2226,atypical promyelocyte,atypical promyelocyte,PKC,186.TIF
2227,myeloblast,atypical promyelocyte,BHS,240.TIF
2228,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,158.TIF
2229,atypical promyelocyte,atypical promyelocyte,PKC,387.TIF
2230,other,hair cell,UVT,487.TIF
2231,typical lymphocyte,myeloblast,SBY,007.TIF
2232,ambiguous,other,UVT,180.TIF
2233,other,other,PKC,193.TIF
2234,monocyte,myeloblast,PKC,480.TIF
2235,neutrophil granulocyte (band),metamyelocyte,BHS,382.TIF
2236,other,typical lymphocyte,BHS,060.TIF
2237,monocyte,myeloblast,SBY,232.TIF
2238,monocyte,neutrophil granulocyte (band),BHS,207.TIF
2239,atypical promyelocyte,myelocyte,BHS,401.TIF
2240,other,smudge cell,UVT,331.TIF
2241,monocyte,myelocyte,BHS,308.TIF
2242,typical lymphocyte,typical lymphocyte,UGU,038.TIF
2243,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,410.TIF
2244,typical lymphocyte,typical lymphocyte,SBY,294.TIF
2245,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,263.TIF
2246,myeloblast,myeloblast,SBY,479.TIF
2247,myeloblast,atypical promyelocyte,PKC,086.TIF
2248,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,353.TIF
2249,myeloblast,myeloblast,SBY,446.TIF
2250,myeloblast,myeloblast,SBY,285.TIF
2251,monocyte,metamyelocyte,PKC,296.TIF
2252,typical lymphocyte,typical lymphocyte,UGU,033.TIF
2253,other,atypical promyelocyte,BHS,447.TIF
2254,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,404.TIF
2255,myeloblast,myeloblast,UVT,165.TIF
2256,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,248.TIF
2257,atypical promyelocyte with auer rod,atypical promyelocyte,BHS,403.TIF
2258,other,atypical promyelocyte,BHS,221.TIF
2259,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,428.TIF
2260,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,199.TIF
2261,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,250.TIF
2262,typical lymphocyte,typical lymphocyte,UGU,466.TIF
2263,monocyte,myeloblast,UVT,281.TIF
2264,other,myeloblast,BHS,397.TIF
2265,other,basophil granulocyte,BHS,386.TIF
2266,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,291.TIF
2267,cup-like blast,myeloblast,UVT,183.TIF
2268,reactive lymphocyte,myeloblast,UVT,453.TIF
2269,monocyte,typical lymphocyte,UGU,010.TIF
2270,monocyte,myeloblast,UVT,452.TIF
2271,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,053.TIF
2272,myeloblast,myeloblast,SBY,321.TIF
2273,promyelocyte,atypical promyelocyte,PKC,389.TIF
2274,monocyte,monocyte,SBY,006.TIF
2275,large granulated lymphocyte,large granulated lymphocyte,UGU,155.TIF
2276,other,large granulated lymphocyte,PKC,486.TIF
2277,eosinophil granulocyte,eosinophil granulocyte,SBY,123.TIF
2278,ambiguous,myeloblast,SBY,303.TIF
2279,monocyte,monocyte,UGU,368.TIF
2280,other,smudge cell,BHS,128.TIF
2281,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,276.TIF
2282,promyelocyte,atypical promyelocyte,PKC,449.TIF
2283,monocyte,atypical promyelocyte,BHS,241.TIF
2284,other,other,BHS,290.TIF
2285,monocyte,other,BHS,029.TIF
2286,typical lymphocyte,typical lymphocyte,SBY,467.TIF
2287,atypical promyelocyte,atypical promyelocyte,PKC,454.TIF
2288,myeloblast,myeloblast,SBY,286.TIF
2289,monocyte,metamyelocyte,BHS,086.TIF
2290,myeloblast,myeloblast,UGU,399.TIF
2291,other,atypical promyelocyte,BHS,262.TIF
2292,monocyte,atypical promyelocyte,PKC,432.TIF
2293,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,030.TIF
2294,monocyte,atypical promyelocyte,PKC,007.TIF
2295,promonocyte,myeloblast,UVT,365.TIF
2296,typical lymphocyte,myeloblast,SBY,137.TIF
2297,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,310.TIF
2298,cup-like blast,myeloblast,UVT,045.TIF
2299,metamyelocyte,basophil granulocyte,UVT,150.TIF
2300,myeloblast,mononucleosis,UGU,291.TIF
2301,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,335.TIF
2302,reactive lymphocyte,myeloblast,SBY,226.TIF
2303,reactive lymphocyte,myelocyte,PKC,379.TIF
2304,monocyte,mononucleosis,UVT,249.TIF
2305,typical lymphocyte,typical lymphocyte,SBY,179.TIF
2306,reactive lymphocyte,reactive lymphocyte,UGU,100.TIF
2307,typical lymphocyte,typical lymphocyte,PKC,188.TIF
2308,other,smudge cell,SBY,269.TIF
2309,other,myeloblast,UVT,462.TIF
2310,other,other,PKC,037.TIF
2311,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,027.TIF
2312,reactive lymphocyte,myeloblast,SBY,199.TIF
2313,other,other,BHS,283.TIF
2314,myeloblast,myeloblast,SBY,008.TIF
2315,monocyte,atypical promyelocyte,BHS,350.TIF
2316,monocyte,monocyte,SBY,443.TIF
2317,large granulated lymphocyte,large granulated lymphocyte,UGU,001.TIF
2318,monocyte,other,BHS,237.TIF
2319,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,492.TIF
2320,typical lymphocyte,typical lymphocyte,UGU,274.TIF
2321,myeloblast,atypical promyelocyte,UVT,002.TIF
2322,typical lymphocyte,typical lymphocyte,BHS,458.TIF
2323,typical lymphocyte,typical lymphocyte,BHS,079.TIF
2324,reactive lymphocyte,myeloblast,SBY,019.TIF
2325,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,342.TIF
2326,monocyte,neutrophil granulocyte (band),BHS,002.TIF
2327,reactive lymphocyte,myeloblast,SBY,190.TIF
2328,monocyte,monocyte,SBY,227.TIF
2329,other,other,PKC,173.TIF
2330,myeloblast,myeloblast,UVT,047.TIF
2331,typical lymphocyte,myeloblast,SBY,379.TIF
2332,typical lymphocyte,myeloblast,SBY,470.TIF
2333,typical lymphocyte,typical lymphocyte,SBY,355.TIF
2334,typical lymphocyte,typical lymphocyte,UGU,237.TIF
2335,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,435.TIF
2336,"atypical promyelocyte, bilobed",bilobed M3v,SBY,097.TIF
2337,other,other,PKC,243.TIF
2338,reactive lymphocyte,atypical promyelocyte,SBY,068.TIF
2339,reactive lymphocyte,myeloblast,UGU,093.TIF
2340,ambiguous,atypical promyelocyte,BHS,013.TIF
2341,myeloblast,myeloblast,UVT,374.TIF
2342,other,other,PKC,159.TIF
2343,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,296.TIF
2344,typical lymphocyte,typical lymphocyte,UGU,217.TIF
2345,monocyte,myeloblast,SBY,489.TIF
2346,other,smudge cell,SBY,460.TIF
2347,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,107.TIF
2348,typical lymphocyte,typical lymphocyte,SBY,217.TIF
2349,other,other,BHS,469.TIF
2350,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,047.TIF
2351,monocyte,monocyte,SBY,284.TIF
2352,other,other,UGU,044.TIF
2353,myeloblast,mononucleosis,SBY,185.TIF
2354,other,smudge cell,UVT,433.TIF
2355,other,other,UVT,079.TIF
2356,neutrophil granulocyte (band),neutrophil granulocyte (segmented),UVT,092.TIF
2357,other,smudge cell,BHS,260.TIF
2358,other,smudge cell,UVT,245.TIF
2359,atypical promyelocyte,atypical promyelocyte,PKC,167.TIF
2360,typical lymphocyte,typical lymphocyte,PKC,138.TIF
2361,ambiguous,atypical promyelocyte,BHS,449.TIF
2362,other,other,BHS,192.TIF
2363,monocyte,other,BHS,372.TIF
2364,myeloblast,myeloblast,SBY,039.TIF
2365,typical lymphocyte,typical lymphocyte,SBY,105.TIF
2366,other,neutrophil granulocyte (segmented),PKC,078.TIF
2367,myeloblast,myeloblast,PKC,410.TIF
2368,typical lymphocyte,typical lymphocyte,UGU,497.TIF
2369,other,smudge cell,UVT,151.TIF
2370,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,270.TIF
2371,myeloblast,myeloblast,UGU,091.TIF
2372,myeloblast,myeloblast,SBY,225.TIF
2373,monocyte,atypical promyelocyte,SBY,317.TIF
2374,other,smudge cell,UGU,025.TIF
2375,other,other,SBY,484.TIF
2376,myeloblast,myeloblast,UGU,099.TIF
2377,other,neutrophil granulocyte (segmented),PKC,097.TIF
2378,large granulated lymphocyte,large granulated lymphocyte,UVT,395.TIF
2379,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,136.TIF
2380,other,atypical promyelocyte,SBY,062.TIF
2381,myeloblast,promyelocyte,PKC,382.TIF
2382,large granulated lymphocyte,large granulated lymphocyte,UGU,303.TIF
2383,monocyte,myeloblast,SBY,341.TIF
2384,monocyte,monocyte,PKC,376.TIF
2385,other,atypical promyelocyte,BHS,271.TIF
2386,myeloblast,myeloblast,UGU,111.TIF
2387,myeloblast,myeloblast,UVT,159.TIF
2388,large granulated lymphocyte,large granulated lymphocyte,UGU,307.TIF
2389,other,atypical promyelocyte,BHS,131.TIF
2390,other,other,PKC,450.TIF
2391,neutrophil granulocyte (band),eosinophil granulocyte,BHS,229.TIF
2392,myeloblast,atypical promyelocyte,UGU,343.TIF
2393,normo,normo,PKC,411.TIF
2394,ambiguous,typical lymphocyte,SBY,299.TIF
2395,large granulated lymphocyte,large granulated lymphocyte,UGU,120.TIF
2396,myeloblast,myeloblast,UVT,070.TIF
2397,typical lymphocyte,typical lymphocyte,UVT,409.TIF
2398,myelocyte,myelocyte,PKC,181.TIF
2399,typical lymphocyte,typical lymphocyte,UGU,017.TIF
2400,other,other,SBY,205.TIF
2401,other,myeloblast,PKC,212.TIF
2402,other,basophil granulocyte,BHS,292.TIF
2403,monocyte,myeloblast,UGU,108.TIF
2404,other,neutrophil granulocyte (segmented),PKC,370.TIF
2405,monocyte,neutrophil granulocyte (segmented),UGU,470.TIF
2406,other,smudge cell,UVT,032.TIF
2407,other,neutrophil granulocyte (segmented),PKC,178.TIF
2408,reactive lymphocyte,large granulated lymphocyte,UVT,010.TIF
2409,myeloblast,myeloblast,UVT,373.TIF
2410,myeloblast,myeloblast,SBY,459.TIF
2411,other,myeloblast,SBY,453.TIF
2412,monocyte,metamyelocyte,BHS,413.TIF
2413,typical lymphocyte,large granulated lymphocyte,PKC,465.TIF
2414,other,other,BHS,326.TIF
2415,other,typical lymphocyte,UGU,200.TIF
2416,other,other,PKC,445.TIF
2417,other,typical lymphocyte,BHS,187.TIF
2418,atypical promyelocyte,atypical promyelocyte,BHS,284.TIF
2419,monocyte,monocyte,PKC,299.TIF
2420,reactive lymphocyte,typical lymphocyte,SBY,382.TIF
2421,monocyte,reactive lymphocyte,UGU,496.TIF
2422,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,215.TIF
2423,typical lymphocyte,typical lymphocyte,SBY,279.TIF
2424,typical lymphocyte,typical lymphocyte,BHS,322.TIF
2425,neutrophil granulocyte (segmented),other,UVT,066.TIF
2426,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,023.TIF
2427,monocyte,monocyte,SBY,214.TIF
2428,other,other,UVT,397.TIF
2429,typical lymphocyte,typical lymphocyte,BHS,177.TIF
2430,typical lymphocyte,typical lymphocyte,UGU,098.TIF
2431,monocyte,metamyelocyte,UGU,423.TIF
2432,other,typical lymphocyte,UGU,485.TIF
2433,monocyte,atypical promyelocyte,BHS,396.TIF
2434,neutrophil granulocyte (band),neutrophil granulocyte (segmented),UVT,072.TIF
2435,other,smudge cell,BHS,379.TIF
2436,atypical promyelocyte,atypical promyelocyte,BHS,418.TIF
2437,other,large granulated lymphocyte,UGU,393.TIF
2438,other,typical lymphocyte,PKC,393.TIF
2439,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,148.TIF
2440,typical lymphocyte,typical lymphocyte,UGU,153.TIF
2441,monocyte,myeloblast,UGU,408.TIF
2442,neutrophil granulocyte (band),neutrophil granulocyte (band),UVT,247.TIF
2443,monocyte,atypical promyelocyte,PKC,165.TIF
2444,other,typical lymphocyte,BHS,026.TIF
2445,cup-like blast,myeloblast,UGU,154.TIF
2446,typical lymphocyte,typical lymphocyte,SBY,431.TIF
2447,typical lymphocyte,typical lymphocyte,UVT,355.TIF
2448,other,neutrophil granulocyte (segmented),PKC,414.TIF
2449,myeloblast,myeloblast,UVT,234.TIF
2450,myeloblast,myeloblast,SBY,250.TIF
2451,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,326.TIF
2452,monocyte,myeloblast,SBY,316.TIF
2453,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,108.TIF
2454,myeloblast,mononucleosis,SBY,087.TIF
2455,ambiguous,atypical promyelocyte,PKC,464.TIF
2456,other,neutrophil granulocyte (segmented),PKC,407.TIF
2457,monocyte,monocyte,BHS,383.TIF
2458,other,smudge cell,BHS,122.TIF
2459,atypical promyelocyte,atypical promyelocyte,BHS,130.TIF
2460,other,smudge cell,UVT,244.TIF
2461,other,typical lymphocyte,SBY,436.TIF
2462,faggot cell,atypical promyelocyte,BHS,356.TIF
2463,reactive lymphocyte,neoplastic lymphocyte,SBY,251.TIF
2464,neutrophil granulocyte (band),neutrophil granulocyte (segmented),BHS,419.TIF
2465,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,083.TIF
2466,monocyte,atypical promyelocyte,PKC,426.TIF
2467,other,large granulated lymphocyte,UGU,018.TIF
2468,large granulated lymphocyte,large granulated lymphocyte,UGU,141.TIF
2469,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,102.TIF
2470,other,other,BHS,456.TIF
